Judge,Office,Total Dispositions,Tot,Decisions,Awards,Denials,Fully Favorable,Partially Favorable
"King, Kristen",CINCINNATI,202,202,157,75,82,71,4
"Kinkade, Jana",CINCINNATI,99,287,75,48,27,43,5
"Nguyen, Thuy-Anh T",CINCINNATI,248,249,196,74,122,46,28
"Prince, John M",CINCINNATI,322,322,237,146,91,141,5
"Shaughnessy, Anne",CINCINNATI,354,354,284,160,124,144,16
"Thomas, Billy",CINCINNATI,280,280,222,136,86,102,34
"Tindale, Christopher S",CINCINNATI,230,230,181,95,86,64,31
"Andreas, Frederick",CLEVELAND,317,317,261,114,147,95,19
"Beekman, Peter",CLEVELAND,339,339,277,101,176,74,27
"Bronson, Peter R",CLEVELAND,178,178,149,99,50,77,22
"Canfield, Scott R",CLEVELAND,307,307,255,43,212,29,14
"Collins, Yelanda",CLEVELAND,25,329,22,9,13,8,1
"Eliot, Jonathan",CLEVELAND,267,267,213,63,150,46,17
"Giuffre, Susan G",CLEVELAND,291,291,226,41,185,26,15
"Hajjar, Joseph G",CLEVELAND,198,310,165,50,115,40,10
"Hixson, Traci M",CLEVELAND,299,299,249,127,122,75,52
"Kearney, Keith J",CLEVELAND,169,262,126,60,66,54,6
"Leland, William",CLEVELAND,392,392,336,111,225,91,20
"Loesel, Pamela E",CLEVELAND,286,286,227,95,132,83,12
"Loucas, Penny",CLEVELAND,196,196,143,40,103,32,8
"Ma, Catherine",CLEVELAND,161,184,140,37,103,28,9
"Martin, James M",CLEVELAND,4,316,4,1,3,1,0
"McClelland, Martin",CLEVELAND,185,185,132,36,96,25,11
"Rini, Cheryl M",CLEVELAND,101,101,74,41,33,37,4
"Roscoe, George D",CLEVELAND,195,195,147,60,87,54,6
"Rose, Joseph A",CLEVELAND,201,408,163,90,73,85,5
"Vallowe, Joseph",CLEVELAND,350,350,304,169,135,141,28
"Westley, Eric",CLEVELAND,336,336,286,132,154,100,32
"Beall, John A",COLORADO SPRINGS,106,106,50,37,13,36,1
"Boudreau, Debra",COLORADO SPRINGS,350,350,276,139,137,126,13
"Burgchardt, Kathryn D",COLORADO SPRINGS,351,351,278,119,159,79,40
"Denney, Debra J",COLORADO SPRINGS,2,326,0,0,0,0,0
"Fellabaum, Jennifer",COLORADO SPRINGS,37,37,30,19,11,15,4
"Kawalek, Matthew C",COLORADO SPRINGS,348,350,280,109,171,75,34
"Lo Burgio, Nicholas J",COLORADO SPRINGS,1,10,1,1,0,0,1
"Musseman, William",COLORADO SPRINGS,446,446,353,104,249,85,19
"Schuman, Kurt D",COLORADO SPRINGS,351,351,262,121,141,75,46
"Shaffer, Earl W",COLORADO SPRINGS,239,239,203,131,72,112,19
"Stallings, Stewart",COLORADO SPRINGS,215,215,167,101,66,91,10
"Bell, Stephan",COLUMBIA MO,352,352,294,166,128,137,29
"Boorady, Carol L",COLUMBIA MO,344,344,271,121,150,106,15
"Bowling, Robert B",COLUMBIA MO,1,283,0,0,0,0,0
"LeBlanc, Dennis",COLUMBIA MO,343,343,266,157,109,127,30
"Pico, Gerardo R",COLUMBIA MO,7,238,3,0,3,0,0
"Ruth, Vicky",COLUMBIA MO,268,268,199,114,85,83,31
"Souza, Raymond L",COLUMBIA MO,1,271,0,0,0,0,0
"Wingate Campbell, Kelli",COLUMBIA MO,357,357,281,120,161,90,30
"Chase, Ethan A",COLUMBIA SC,18,361,11,7,4,7,0
"Christian, Frederick W",COLUMBIA SC,88,88,81,46,35,43,3
"Conover, Arthur L",COLUMBIA SC,391,391,323,219,104,207,12
"Daly, Tracy",COLUMBIA SC,26,26,26,8,18,7,1
"Elkin, Paul",COLUMBIA SC,147,147,115,65,50,62,3
"Fleming, Ronald",COLUMBIA SC,386,386,322,152,170,149,3
"Foresman, Deborah",COLUMBIA SC,25,25,18,11,7,11,0
"Herin, Jr., Walter C",COLUMBIA SC,347,348,277,170,107,136,34
"Martin, John R",COLUMBIA SC,331,331,271,241,30,235,6
"Ryerse, Mary",COLUMBIA SC,130,130,101,79,22,72,7
"Taylor, William F",COLUMBIA SC,97,470,79,59,20,53,6
"Earnhart, Jason C",COLUMBUS,404,404,320,159,161,148,11
"Eppler, Rita S",COLUMBUS,57,57,30,5,25,4,1
"Flottman, Irma J",COLUMBUS,309,309,250,159,91,139,20
"Foley, K. Michael",COLUMBUS,97,97,85,46,39,44,2
"Gates, Timothy",COLUMBUS,42,167,36,21,15,21,0
"Giorgione, Edmund E",COLUMBUS,240,240,194,106,88,95,11
"Hartranft, Jeffrey",COLUMBUS,332,332,267,135,132,104,31
"Keller, Timothy G",COLUMBUS,283,283,187,76,111,73,3
"Lesperance, Jeannine",COLUMBUS,354,354,297,156,141,139,17
"McBarnette, Andrea",COLUMBUS,39,209,29,17,12,11,6
"Montgomery, John R",COLUMBUS,84,84,81,41,40,34,7
"Shailer, John L",COLUMBUS,205,205,193,165,28,114,51
"Southern, Noceeba",COLUMBUS,23,23,18,6,12,6,0
"Wang, Thomas L",COLUMBUS,404,404,346,128,218,109,19
"Wansker, Henry B",COLUMBUS,45,45,40,14,26,14,0
"Yerian, Paul E",COLUMBUS,270,270,214,100,114,71,29
"Alexander, Kyle C",COVINGTON GA,5,324,1,1,0,1,0
"Amos, B. T",COVINGTON GA,6,361,4,3,1,3,0
"Bedell, Laurie A",COVINGTON GA,63,395,55,28,27,23,5
"Bivins, Renita K",COVINGTON GA,248,248,183,30,153,16,14
"Davis, L. E",COVINGTON GA,363,363,299,188,111,178,10
"Donaldson, Angela",COVINGTON GA,3,128,0,0,0,0,0
"Glover, Kristen",COVINGTON GA,65,126,54,26,28,24,2
"Hart, Melinda K",COVINGTON GA,275,281,210,153,57,148,5
"McAdam, Paul",COVINGTON GA,369,369,271,184,87,170,14
"Perkerson, Edgar J",COVINGTON GA,269,269,202,120,82,110,10
"Washington, Calvin",COVINGTON GA,286,286,241,168,73,163,5
"Barber, Robin J",CREVE COEUR,338,338,243,109,134,100,9
"Burrichter, Michael D",CREVE COEUR,2,317,0,0,0,0,0
"Cosentino, Julian",CREVE COEUR,208,208,179,143,36,129,14
"DeWoskin, Henry",CREVE COEUR,21,21,13,5,8,5,0
"Farmer, Lyn",CREVE COEUR,7,169,7,7,0,7,0
"Hanan, Bradley",CREVE COEUR,345,345,247,182,65,170,12
"Hopkins, Richard",CREVE COEUR,282,282,209,133,76,107,26
"Imsland, Lori",CREVE COEUR,219,283,173,84,89,73,11
"Jewell, W. Gary",CREVE COEUR,241,241,201,168,33,152,16
"Key, Christal",CREVE COEUR,28,28,18,12,6,12,0
"Kumpe, William E",CREVE COEUR,380,380,305,240,65,227,13
"McDonald, Sheila E",CREVE COEUR,392,392,294,172,122,156,16
"O' Blennis, Robert G",CREVE COEUR,294,294,235,94,141,73,21
"Steitz, James K",CREVE COEUR,131,131,104,83,21,81,2
"Brounoff, J. M",DALLAS DOWNTOWN,337,337,272,174,98,156,18
"Carvalho, Sherrill A. L",DALLAS DOWNTOWN,389,389,299,151,148,126,25
"Cima, Brock",DALLAS DOWNTOWN,153,153,120,63,57,55,8
"Collins, Peri",DALLAS DOWNTOWN,361,361,262,32,230,18,14
"Deramus, Osly F.",DALLAS DOWNTOWN,323,323,270,114,156,88,26
"Estrada, Janis",DALLAS DOWNTOWN,300,300,245,149,96,141,8
"Gatzke, J. Frederick",DALLAS DOWNTOWN,198,198,154,76,78,50,26
"Johnson, Mary E",DALLAS DOWNTOWN,394,394,330,217,113,206,11
"Kinnell, Tresie",DALLAS DOWNTOWN,105,160,82,41,41,32,9
"Kirkpatrick, Melinda W",DALLAS DOWNTOWN,1,487,0,0,0,0,0
"Lessis, James W",DALLAS DOWNTOWN,479,479,414,253,161,208,45
"Panter, Marjorie",DALLAS DOWNTOWN,310,313,233,87,146,70,17
"Steckler, Sharon L",DALLAS DOWNTOWN,68,68,58,25,33,20,5
"Thames, Tammy A",DALLAS DOWNTOWN,356,356,273,162,111,151,11
"Westfall, Rebecca D",DALLAS DOWNTOWN,347,347,279,213,66,199,14
"Allred, Keith",DALLAS NORTH,310,324,252,109,143,86,23
"Batik, Kevin",DALLAS NORTH,158,158,112,33,79,29,4
"Curran, Daniel",DALLAS NORTH,505,505,376,199,177,183,16
"Davis, Donald R",DALLAS NORTH,345,345,269,104,165,96,8
"Dunlap, Elizabeth B",DALLAS NORTH,363,363,277,133,144,124,9
"Finnie, Michael E",DALLAS NORTH,361,361,279,126,153,97,29
"Haigler, Jr., Whitfield",DALLAS NORTH,310,310,260,187,73,178,9
"Henderson, John A",DALLAS NORTH,5,5,2,1,1,1,0
"Honeycutt, Truett M",DALLAS NORTH,362,362,269,204,65,177,27
"Kinkade, Jana",DALLAS NORTH,188,287,141,100,41,89,11
"Liken, Joseph",DALLAS NORTH,521,521,439,320,119,292,28
"Maiben, Evelyn",DALLAS NORTH,157,157,128,65,63,57,8
"Malloy, Raymond J",DALLAS NORTH,357,357,273,163,110,151,12
"Pate, Anne H",DALLAS NORTH,418,418,340,155,185,131,24
"Phillips, Derek N",DALLAS NORTH,164,164,134,129,5,120,9
"Schwartz, Stanley M",DALLAS NORTH,259,259,205,81,124,60,21
"Shilling, Ralph F",DALLAS NORTH,442,442,320,179,141,161,18
